entryId,contentfulName,title,currentSectionVariant,suggestedSectionVariant,status,usedOnPages,contentfulAdminUrl,notes
"3a8nta5OIcdEtW1d8y5jDw","SECCION - Areas de acción de las fundaciones","Áreas de acción de las fundaciones","image-overlay-grid","image-overlay-grid","already-set","/nuestro-impacto","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/3a8nta5OIcdEtW1d8y5jDw",""
"2XAgzACEWPi0BMDCajQUd1","SECCION - Banca","Nuestros bancos","sector-companies","sector-companies","already-set","/sectores/banca","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/2XAgzACEWPi0BMDCajQUd1","Legacy inference would use ""business-ecosystem"" instead."
"4NHkllttklcfZ8KCS2ZFVJ","SECCION - CENTRO DE RECURSOS","Centro de recursos","resource-center","resource-center","already-set","/sectores/banca","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/4NHkllttklcfZ8KCS2ZFVJ",""
"2BcHQxaGophJqHuihKbJoW","SECCION - Como generamos impacto","Cómo generamos impacto","bordered-grid","bordered-grid","already-set","/nuestro-impacto","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/2BcHQxaGophJqHuihKbJoW",""
"43AS2fF4RUtBkPImngjxgg","SECCION - CTA FUNDACIONES GP","","fundaciones-cta","fundaciones-cta","already-set","/nuestro-impacto","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/43AS2fF4RUtBkPImngjxgg",""
"4qm6AqII1T4rS08y0mARRk","SECCION - CTA Hiring Room","¿Querés formar parte de nuestro equipo?","hiring-room-cta","hiring-room-cta","already-set","/quienes-somos","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/4qm6AqII1T4rS08y0mARRk",""
"1x3XrS2xTPEhe8n2c4uPIg","SECCION - Empresas que impulsan el desarrollo","Empresas que impulsan el desarrollo","logo-grid","logo-grid","already-set","/quienes-somos","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/1x3XrS2xTPEhe8n2c4uPIg",""
"3eU4XTGHKg9JtUCDxXVmk3","SECCION - Estamos presentes en el desarrollo regional","Estamos presentes en el desarrollo Regional","image-overlay-grid","image-overlay-grid","already-set","/economias-regionales","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/3eU4XTGHKg9JtUCDxXVmk3",""
"68pjknk7MabQ9fYMLNTc1D","SECCION - Fundaciones Grupo Petersen","Fundaciones Grupo Petersen","fundaciones-grupo-petersen","fundaciones-grupo-petersen","already-set","/nuestro-impacto","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/68pjknk7MabQ9fYMLNTc1D",""
"7ATB47bcAUQmtF4MpC48Cv","SECCION - GRILLA SECTORES","","sectors-grid","sectors-grid","already-set","/quienes-somos","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/7ATB47bcAUQmtF4MpC48Cv",""
"6X68mJXpcSXKYeXIoUP5NP","SECCION - I3 CICLO DE CONVERSACIONES","","i3-conversations","i3-conversations","already-set","/nuestro-impacto","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/6X68mJXpcSXKYeXIoUP5NP",""
"5TZiVqd1TrOE3sxWD2VFCV","SECCION - i3 Innovación para el desarrolllo","i3 - Innovación para el desarrollo","i3-innovation","i3-innovation","already-set","/nuestro-impacto","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/5TZiVqd1TrOE3sxWD2VFCV",""
"3Mh3AwyiBfe2PBQph8zCFk","SECCION - IMPULSAMOS UNA MIRADA SOSTENTIBLE DEL NEGOCIO","Impulsamos una mirada sostenible del negocio","banking-sustainability","banking-sustainability","already-set","/sectores/banca","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/3Mh3AwyiBfe2PBQph8zCFk",""
