"Name","Content Type","Updated","Last updated by","status"
"SECCION - VISTA NOTICIA - MAS SOBRE EL GRUPO","Bloque Cuadricula","2026-08-03","Manuel Liberal","draft"
"SECCION - Mineria","Bloque Cuadricula","2026-08-03","Manuel Liberal","draft"
"SECCION - Seguros","Bloque Cuadricula","2026-08-03","Manuel Liberal","draft"
"SECCION - Tecnología Financiera","Bloque Cuadricula","2026-08-03","Manuel Liberal","draft"
"SECCION - Soluciones de Pago","Bloque Cuadricula","2026-08-03","Manuel Liberal","draft"
"SECCION - Ingenieria y construcción","Bloque Cuadricula","2026-08-03","Manuel Liberal","draft"
"SECCION - Producción con visión de futuro","Bloque Cuadricula","2026-08-03","Manuel Liberal","draft"
"SECCION - CENTRO DE RECURSOS","Bloque Cuadricula","2026-08-02","Manuel Liberal","draft"
"SECCION - IMPULSAMOS UNA MIRADA SOSTENTIBLE DEL NEGOCIO","Bloque Cuadricula","2026-08-02","Manuel Liberal","draft"
"SECCION - Banca","Bloque Cuadricula","2026-08-02","Manuel Liberal","draft"
"SECCION - La banca que conecta personas, empresas y comunidades","Bloque Cuadricula","2026-08-01","Manuel Liberal","draft"
"SECCION - TAMBIEN PUEDE INTERESARTE","Bloque Cuadricula","2026-07-31","Manuel Liberal","draft"
"SECCION - Los inicios","Bloque Cuadricula","2026-07-31","Manuel Liberal","changed"
"SECCION - I3 CICLO DE CONVERSACIONES","Bloque Cuadricula","2026-07-31","Manuel Liberal","draft"
"SECCION - i3 Innovación para el desarrolllo","Bloque Cuadricula","2026-07-31","Manuel Liberal","draft"
"SECCION - PROGRAMAS QUE IMPULSAN EL DESARROLLO","Bloque Cuadricula","2026-07-31","Manuel Liberal","draft"
"SECCION - CTA FUNDACIONES GP","Bloque Cuadricula","2026-07-31","Manuel Liberal","draft"
"SECCION - Areas de acción de las fundaciones","Bloque Cuadricula","2026-07-31","Manuel Liberal","draft"
"SECCION - Fundaciones Grupo Petersen","Bloque Cuadricula","2026-07-31","Manuel Liberal","draft"
"SECCION - Como generamos impacto","Bloque Cuadricula","2026-07-31","Manuel Liberal","draft"
"SECCION - Un compromiso que atraviesa todo el grupo","Bloque Cuadricula","2026-07-31","Manuel Liberal","draft"
"SECCION - NOTICIAS QUE PODRIAN INTERESARTE (1)","Bloque Cuadricula","2026-07-30","Manuel Liberal","draft"
"SECCION - NUESTRO COMPROMISO CON LA COMUNIDAD","Bloque Cuadricula","2026-07-30","Manuel Liberal","draft"
"SECCION - Estamos presentes en el desarrollo regional","Bloque Cuadricula","2026-07-30","Manuel Liberal","draft"
"SECCION - Sectores estrategicos","Bloque Cuadricula","2026-07-29","Manuel Liberal","draft"
"SECCION - Nuestro compromiso con el desarrollo regional","Bloque Cuadricula","2026-07-29","Manuel Liberal","draft"
"SECCION - Ultimas dinamicas presenciales (video embebido)","Bloque Cuadricula","2026-07-28","Manuel Liberal","draft"
"SECCION - CTA Hiring Room","Bloque Cuadricula","2026-07-27","Manuel Liberal","draft"
"SECCION - Talento y Cultura","Bloque Cuadricula","2026-07-27","Manuel Liberal","draft"
"SECCION - Empresas que impulsan el desarrollo","Bloque Cuadricula","2026-07-27","Manuel Liberal","changed"
"SECCION - GRILLA SECTORES","Bloque Cuadricula","2026-07-27","Manuel Liberal","draft"
"SECCION - Nuestro propósito","Bloque Cuadricula","2026-07-27","Manuel Liberal","published"
"SECCION - NOTICIAS QUE PODRIAN INTERESARTE","Bloque Cuadricula","2026-07-27","Manuel Liberal","changed"
"SECCION - Empresas que impulsan este sector","Bloque Cuadricula","2026-07-21","Manuel Liberal","published"
"SECCION - Nuestro ecosistema empresarial","Bloque Cuadricula","2026-07-21","Manuel Liberal","published"
